3,Lat:Tabela3,Lon:H2S:NH3:Temperatura:Wilgotność:Tabela3,Godzina
53.0667563528:19.9102002103:2.11:1.77:30.81:29:"11:30:34 AM"
53.0667646509:19.9101840332:2.11:1.68:30.87:29:"11:30:36 AM"
53.0667794868:19.9101791717:2.11:1.77:30.87:29:"11:30:37 AM"
53.0667518266:19.9102143757:2.19:1.86:31.12:29:"11:31:07 AM"
53.0667456239:19.9102121964:2.22:1.68:31.12:29:"11:31:09 AM"
53.0666634813:19.9101265334:4.44:3.13:32.44:24:"11:38:35 AM"
53.0666590389:19.9101240188:4.44:3.13:32.44:25:"11:38:37 AM"
53.0666476395:19.9101348314:4.39:3.27:32.5:25:"11:38:40 AM"
53.0666399281:19.9101459794:4.39:3.27:32.56:25:"11:38:42 AM"
53.0664820969:19.9076116271:6.14:5.26:34.5:21:"11:46:11 AM"
53.0666739587:19.9069709983:6.28:5.26:34.56:21:"11:46:17 AM"
53.0667630583:19.9067237321:6.43:5.26:34.63:21:"11:46:20 AM"
